,names
1,Agaricus altipes
2,Abortiporus biennis
3,Adelphella babingtonii
4,Agaricus amanitaeformis
5,Agaricus arvensis
6,Agaricus augustus
7,Agaricus benesii
8,Agaricus bernardii
9,Agaricus bisporus
10,Agaricus bitorquis
11,Agaricus blazei
12,Agaricus bohusii
13,Agaricus brunnescens
14,Agaricus californicus
15,Agaricus campestris
16,Agaricus comtulus
17,Agaricus cupreobrunneus
18,Agaricus depauperatus
19,Agaricus essettei
20,Agaricus excellens
21,Agaricus fissuratus
22,Agaricus gennadii
23,Agaricus heinemannianus
24,Agaricus hondensis
25,Agaricus impudicus
26,Agaricus iodosmus
27,Agaricus koelerionensis
28,Agaricus langei
29,Agaricus leucotrichus
30,Agaricus litoralis
31,Agaricus lutosus
32,Agaricus macrocarpus
33,Agaricus macrosporus
34,Agaricus maleolens
35,Agaricus maskae
36,Agaricus menieri
37,Agaricus moelleri
38,Agaricus nivescens
39,Agaricus pampeanus
40,Agaricus pequinii
41,Agaricus phaeolepidotus
42,Agaricus pilatianus
43,Agaricus placomyces
44,Agaricus porphyrizon
45,Agaricus praeclaresquamosus
46,Agaricus purpurellus
47,Agaricus romagnesii
48,Agaricus semotus
49,Agaricus silvaticus
50,Agaricus silvicola
51,Agaricus spissicaulis
52,Agaricus stramineus
53,Agaricus subfloccosus
54,Agaricus subperonatus
55,Agaricus urinascens
56,Agaricus vaporarius
57,Agaricus xanthoderma
58,Agaricus xanthodermus
59,Agrocybe aegerita
60,Agrocybe arenicola
61,Agrocybe dura
62,Agrocybe elatella
63,Agrocybe pediades
64,Agrocybe praecox
65,Agrocybe semiorbicularis
66,Agrocybe vervacti
67,Albatrellus confluens
68,Albatrellus cristatus
69,Albatrellus ovinus
70,Albatrellus pes-caprae
71,Albatrellus subrubescens
72,Alboleptonia sericella
73,Aleuria aurantia
74,Amanita abrupta
75,Amanita albocreata
76,Amanita altipes
77,Amanita aprica
78,Amanita asteropus
79,Amanita badia
80,Amanita battarrae
81,Amanita beillei
82,Amanita boudieri
83,Amanita breckonii
84,Amanita brunnescens
85,Amanita caesarea
86,Amanita ceciliae
87,Amanita citrina
88,Amanita citrina var alba
89,Amanita citrina var citrina
90,Amanita codinae
91,Amanita cokeri
92,Amanita cothurnata
93,Amanita crocea
94,Amanita curtipes
95,Amanita echinocephala
96,Amanita eliae
97,Amanita excelsa
98,Amanita farinosa
99,Amanita flavoconia
100,Amanita flavorubescens
101,Amanita franchetii
102,Amanita frostiana
103,Amanita fulva
104,Amanita gemmata
105,Amanita gilbertii
106,Amanita gioiosa
107,Amanita gracilior
108,Amanita hemibapha
109,Amanita heterochroma
110,Amanita hongoi
111,Amanita ibotengutake
112,Amanita jacksonii
113,Amanita junquillea
114,Amanita magnivolvata
115,Amanita mairei
116,Amanita malleata
117,Amanita muscaria
118,Amanita nehuta
119,Amanita neoovoidea
120,Amanita novinupta
121,Amanita ovoidea
122,Amanita pantherina
123,Amanita parcivolvata
124,Amanita parvipantherina
125,Amanita petalinivolva
126,Amanita phalliodes
127,Amanita phalloides
128,Amanita ponderosa
129,Amanita porphyria
130,Amanita porrinensis
131,Amanita proxima
132,Amanita pseudoporphyria
133,Amanita pseudoregalis
134,Amanita pseudorubescens
135,Amanita regalis
136,Amanita roseotincta
137,Amanita rubescens
138,Amanita rubrovolvata
139,Amanita smithiana
140,Amanita spissa
141,Amanita strobiliformis
142,Amanita subfrostiana
143,Amanita submembranacea
144,Amanita torrendii
145,Amanita umbrinolutea
146,Amanita vaginata
147,Amanita valens
148,Amanita velatipes
149,Amanita verna
150,Amanita verna 
151,Amanita virosa
152,Amanita viscidolutea
153,Amanita vittadinii
154,Amanita wellsii
155,Amanita xanthocephala
156,Ampulloclitocybe clavipes
157,Amylostereum laevigatum
158,Anthracobia macrocystis
159,Anthracobia maurilabra
160,Anthracobia melaloma
161,Antrodia albida
162,Arachnion lazoi
163,Arachnion lloydianum
164,Arachnopeziza aurelia
165,Arcyria cinerea
166,Arcyria denudata
167,Arcyria obvelata
168,Armillaria bulbosa
169,Armillaria mellea
170,Armillaria ostoyae
171,Armillaria tabescens
172,Arrhenia lobata
173,Arrhenia onisca
174,Arrhenia rickenii
175,Arrhenia spathulata
176,Artomyces pyxidatus
177,Ascocoryne cylichnium
178,Ascocoryne sarcoides
179,Ascotremella faginea
180,Asterophora lycoperdoides
181,Asterophora parasitica
182,Astraeus hygrometricus
183,Aureoboletus gentilis
184,Auricularia auricula-judae
185,Auricularia mesenterica
186,Auricularia polytricha
187,Auriculariopsis ampla
188,Auriscalpium vulgare
189,Baeospora myosura
190,Balsamia vulgaris
191,Basidioradulum radula
192,Battarrea phalloides
193,Biscogniauxia nummularia
194,Bisporella citrina
195,Bisporella pallescens
196,Bjerkandera adusta
197,Bjerkandera fumosa
198,Bolbitius elegans
199,Bolbitius titubans
200,Bolbitius vitellinus
201,Boletinus cavipes
202,Boletopsis grisea
203,Boletopsis leucomelaena
204,Boletus aemilii
205,Boletus aereus
206,Boletus aestivalis
207,Boletus albidus
208,Boletus appendiculatus
209,Boletus badius
210,Boletus calopus
211,Boletus caucasicus
212,Boletus depilatus
213,Boletus dupainii
214,Boletus edulis
215,Boletus erythropus
216,Boletus fechtneri
217,Boletus ferrugineus
218,Boletus fragans
219,Boletus impolitus
220,Boletus junquilleus
221,Boletus legaliae
222,Boletus lupinus
223,Boletus luridus
224,Boletus luteocupreus
225,Boletus permagnificus
226,Boletus pinicola
227,Boletus pinophilus
228,Boletus pruinatus
229,Boletus pseudoregius
230,Boletus pulchrotinctus
231,Boletus purpureus
232,Boletus queletii
233,Boletus regius
234,Boletus reticulatus
235,Boletus rhodopurpureus
236,Boletus rhodoxanthus
237,Boletus roseoalbidus
238,Boletus rubrosanguineus
239,Boletus satanas
240,Boletus speciosus
241,Boletus subtomentosus
242,Boletus torosus
243,Boletus venturii
244,Bovista nigrescens
245,Bovista plumbea
246,Bulgaria inquinans
247,Butyriboletus appendiculatus
248,Butyriboletus pseudoregius
249,Butyriboletus regius
250,Byssomerulius corium
251,Byssonectria fusispora
252,Byssonectria terrestris
253,Calbovista subsculpta
254,Callistosporium luteo-olivaceum
255,Caloboletus calopus
256,Caloboletus radicans
257,Calocera cornea
258,Calocera furcata
259,Calocera viscosa
260,Calocybe alpestris
261,Calocybe carnea
262,Calocybe gambosa
263,Calocybe ionides
264,Calocybe persicolor
265,Caloscypha fulgens
266,Calvatia cyathiformis
267,Calvatia excipuliformis
268,Calvatia gigantea
269,Calvatia utriformis
270,Camarophyllus colemannianus
271,Camarophyllus lacmus
272,Camarophyllus niveus
273,Camarophyllus pratensis
274,Camarophyllus russocoriaceus
275,Camarophyllus virgineus
276,Cantharellus
277,Cantharellus carbonarius
278,Cantharellus cibarius
279,Cantharellus cinereus
280,Cantharellus ferruginascens
281,Cantharellus friesii
282,Cantharellus ianthinoxanthus
283,Cantharellus lutescens
284,Cantharellus melanoxeros
285,Cantharellus melanoxeros 
286,Cantharellus subpruinosus
287,Cantharellus tubaeformis
288,Cantherellus tubaeformis
289,Ceratiomyxa fruticulosa
290,Ceratiomyxa porioides
291,Cerioporus corylinus
292,Cerioporus rhizophilus
293,Cerioporus squamosus
294,Cerocorticium confluens
295,Cerocorticium molare
296,Cerrena unicolor
297,Chalciporus amarellus
298,Chalciporus hypochryseus
299,Chalciporus piperatus
300,Chalciporus rubinus
301,Chamaemyces fracidus
302,Cheilymenia crucipila
303,Cheilymenia fimicola
304,Cheilymenia granulata
305,Cheilymenia stercorea
306,Chlorociboria aeruginascens
307,Chlorophyllum brunneum
308,Chlorophyllum molybdites
309,Chlorophyllum olivieri
310,Chlorophyllum rachodes
311,Chlorophyllum rhacodes
312,Chlorosplenium aeruginascens
313,Chlorosplenium aeruginosum
314,Choiromyces magnusii
315,Choiromyces meandriformis
316,Choiromyces venosus
317,Chondrogaster angustisporus
318,Chondrogaster pachysporus
319,Chondrostereum purpureum
320,Chromosera viola
321,Chroogomphus
322,Chroogomphus fulmineus
323,Chroogomphus helveticus
324,Chroogomphus rutilus
325,Ciboria amentacea
326,Ciboria batschiana
327,Ciboria caucus
328,Ciboria coryli
329,Clathrus archeri
330,Clathrus ruber
331,Clathrus ruber  
332,Clavaria acuta
333,Clavaria argillacea
334,Clavaria fragilis
335,Clavaria fumosa
336,Clavaria vermicularis 
337,Clavaria zollingeri
338,Clavariaceae
339,Clavariadelphus ligula
340,Clavariadelphus pistillaris
341,Clavariadelphus truncatus
342,Claviceps purpurea
343,Clavulina amethystina
344,Clavulina cinerea
345,Clavulina cristata
346,Clavulina rugosa
347,Clavulinaceae
348,Clavulinopsis corniculata
349,Clavulinopsis fusiformis
350,Clavulinopsis helvola
351,Clavulinopsis luteoalba
352,Climacocystis borealis
353,Clitocella popinalis
354,Clitocybe acromelalga
355,Clitocybe albofragans
356,Clitocybe alexandri
357,Clitocybe alnetorum
358,Clitocybe amoenolens
359,Clitocybe barbularum
360,Clitocybe candicans
361,Clitocybe candida
362,Clitocybe catinus
363,Clitocybe cerussata
364,Clitocybe clavipes
365,Clitocybe costata
366,Clitocybe dealbata
367,Clitocybe decembris
368,Clitocybe diatreta
369,Clitocybe ditopa
370,Clitocybe ericetorum
371,Clitocybe festiva
372,Clitocybe fimiphila
373,Clitocybe fontqueri
374,Clitocybe fragans
375,Clitocybe fragrans
376,Clitocybe geotropa
377,Clitocybe gibba
378,Clitocybe gracilipes
379,Clitocybe graminicola
380,Clitocybe inornata
381,Clitocybe maxima
382,Clitocybe metachroa
383,Clitocybe multiceps
384,Clitocybe nebularis
385,Clitocybe nuda
386,Clitocybe odora
387,Clitocybe phaeophthalma
388,Clitocybe phyllophila
389,Clitocybe plana
390,Clitocybe rivulosa
391,Clitocybe sinopica
392,Clitocybe squamulosa
393,Clitocybe subsinopica
394,Clitocybe umbilicata
395,Clitocybe vermicularis
396,Clitocybe vibecina
397,Clitopilus geminus
398,Clitopilus prunulus
399,Collybia asema
400,Collybia butyracea
401,Collybia cirrhata
402,Collybia confluens
403,Collybia cookei
404,Collybia distorta
405,Collybia dryophila
406,Collybia erythropus
407,Collybia filamentosa
408,Collybia fodiens
409,Collybia fuscopurpurea
410,Collybia fusipes
411,Collybia kuehneriana
412,Collybia maculata
413,Collybia ocior
414,Collybia peronata
415,Collybia platyphylla
416,Collybia tuberosa
417,Coltricia perennis
418,Colus hirudinosus
419,Comatricha nigra
420,Conocybe
421,Conocybe apala
422,Conocybe arrhenii
423,Conocybe brunnea
424,Conocybe filaris
425,Conocybe mairei
426,Conocybe ovalis
427,Conocybe pilosella
428,Conocybe pseudopilosella
429,Conocybe subovalis
430,Conocybe tenera
431,Conocybe teneroides
432,Conocybe vestita
433,Coprinellus curtus
434,Coprinellus micaceus
435,Coprinellus xanthothrix
436,Coprinopsis alopecia
437,Coprinopsis atramentaria
438,Coprinopsis cinerea
439,Coprinopsis ephemeroides
440,Coprinopsis erythrocephala
441,Coprinopsis lagopides
442,Coprinopsis lotinae
443,Coprinopsis macrocephala
444,Coprinopsis pseudoradiata
445,Coprinopsis radiata
446,Coprinopsis romagnesiana
