names,word1,word2,Results_Google,Number_Hits_Google
Agaricus altipes,Agaricus,altipes,"Aproximadamente 7.580 resultados (0,42 segundos) ",7580.0
Abortiporus biennis,Abortiporus,biennis,"Aproximadamente 37.100 resultados (0,35 segundos) ",37100.0
Adelphella babingtonii,Adelphella,babingtonii,"Aproximadamente 2.650 resultados (0,36 segundos) ",2650.0
Agaricus amanitaeformis,Agaricus,amanitaeformis,"Aproximadamente 1.770 resultados (0,37 segundos) ",1770.0
Agaricus arvensis,Agaricus,arvensis,"Aproximadamente 251.000 resultados (0,37 segundos) ",251000.0
Agaricus augustus,Agaricus,augustus,"Aproximadamente 132.000 resultados (0,42 segundos) ",132000.0
Agaricus benesii,Agaricus,benesii,"Aproximadamente 95.400 resultados (0,45 segundos) ",95400.0
Agaricus bernardii,Agaricus,bernardii,"Aproximadamente 53.900 resultados (0,39 segundos) ",53900.0
Agaricus bisporus,Agaricus,bisporus,"Aproximadamente 2.100.000 resultados (0,43 segundos) ",2100.0
Agaricus bitorquis,Agaricus,bitorquis,"Aproximadamente 54.000 resultados (0,39 segundos) ",54000.0
Agaricus blazei,Agaricus,blazei,"Aproximadamente 498.000 resultados (0,45 segundos) ",498000.0
Agaricus bohusii,Agaricus,bohusii,"Aproximadamente 10.500 resultados (0,46 segundos) ",10500.0
Agaricus brunnescens,Agaricus,brunnescens,"Aproximadamente 30.900 resultados (0,42 segundos) ",30900.0
Agaricus californicus,Agaricus,californicus,"Aproximadamente 50.100 resultados (0,41 segundos) ",50100.0
Agaricus campestris,Agaricus,campestris,"Aproximadamente 280.000 resultados (0,40 segundos) ",280000.0
Agaricus comtulus,Agaricus,comtulus,"Aproximadamente 12.700 resultados (0,41 segundos) ",12700.0
Agaricus cupreobrunneus,Agaricus,cupreobrunneus,"Aproximadamente 14.000 resultados (0,42 segundos) ",14000.0
Agaricus depauperatus,Agaricus,depauperatus,"Aproximadamente 32.800 resultados (0,40 segundos) ",32800.0
Agaricus essettei,Agaricus,essettei,"Aproximadamente 16.700 resultados (0,36 segundos) ",16700.0
Agaricus excellens,Agaricus,excellens,"Aproximadamente 62.600 resultados (0,40 segundos) ",62600.0
Agaricus fissuratus,Agaricus,fissuratus,"Aproximadamente 12.200 resultados (0,37 segundos) ",12200.0
Agaricus gennadii,Agaricus,gennadii,"Aproximadamente 9.400 resultados (0,39 segundos) ",9400.0
Agaricus heinemannianus,Agaricus,heinemannianus,"Aproximadamente 1.770 resultados (0,28 segundos) ",1770.0
Agaricus hondensis,Agaricus,hondensis,"Aproximadamente 4.870 resultados (0,40 segundos) ",4870.0
Agaricus impudicus,Agaricus,impudicus,"Aproximadamente 51.000 resultados (0,35 segundos) ",51000.0
Agaricus iodosmus,Agaricus,iodosmus,"Aproximadamente 3.210 resultados (0,35 segundos) ",3210.0
Agaricus koelerionensis,Agaricus,koelerionensis,"Aproximadamente 3.710 resultados (0,46 segundos) ",3710.0
Agaricus langei,Agaricus,langei,"Aproximadamente 17.700 resultados (0,36 segundos) ",17700.0
Agaricus leucotrichus,Agaricus,leucotrichus,"Aproximadamente 4.210 resultados (0,43 segundos) ",4210.0
Agaricus litoralis,Agaricus,litoralis,"Aproximadamente 171.000 resultados (0,40 segundos) ",171000.0
