names,len,word1,word2,Results_Google,Number_Hits_Google
Agaricus altipes,16,Agaricus,altipes,"Aproximadamente 7.580 resultados (0,42 segundos) ",7580
Mycena pura,11,Mycena,pura,"Aproximadamente 112.000 resultados (0,34 segundos) ",112000
Tuber rufum,11,Tuber,rufum,"Aproximadamente 35.500 resultados (0,37 segundos) ",35500
Clavariaceae,12,Clavariaceae,,"Aproximadamente 310.000 resultados (0,35 segundos) ",310000
Coryne dubia,12,Coryne,dubia,"Aproximadamente 8.750 resultados (0,38 segundos) ",8750
Cyathus olla,12,Cyathus,olla,"Aproximadamente 66.900 resultados (0,63 segundos) ",66900
Exidia plana,12,Exidia,plana,"Aproximadamente 55.100 resultados (0,58 segundos) ",55100
Genea clausa,12,Genea,clausa,"Aproximadamente 343.000 resultados (0,54 segundos) ",343000
Lepiota alba,12,Lepiota,alba,"Aproximadamente 324.000 resultados (0,38 segundos) ",324000
Lepista nuda,12,Lepista,nuda,"Aproximadamente 162.000 resultados (0,65 segundos) ",162000
Mycena rosea,12,Mycena,rosea,"Aproximadamente 123.000 resultados (0,33 segundos) ",123000
Peziza badia,12,Peziza,badia,"Aproximadamente 131.000 resultados (0,44 segundos) ",131000
Peziza cerea,12,Peziza,cerea,"Aproximadamente 17.800 resultados (0,40 segundos) ",17800
Peziza varia,12,Peziza,varia,"Aproximadamente 75.700 resultados (0,35 segundos) ",75700
Phlebia rufa,12,Phlebia,rufa,"Aproximadamente 23.000 resultados (0,33 segundos) ",23000
Agrocybe dura,13,Agrocybe,dura,"Aproximadamente 32.300 resultados (0,41 segundos) ",32300
Amanita badia,13,Amanita,badia,"Aproximadamente 325.000 resultados (0,37 segundos) ",325000
Amanita eliae,13,Amanita,eliae,"Aproximadamente 11.100 resultados (0,38 segundos) ",11100
Amanita fulva,13,Amanita,fulva,"Aproximadamente 122.000 resultados (0,39 segundos) ",122000
Amanita verna,13,Amanita,verna,"Aproximadamente 108.000 resultados (0,54 segundos) ",108000
Clavulinaceae,13,Clavulinaceae,,"Aproximadamente 64.600 resultados (0,31 segundos) ",64600
Exidia pithya,13,Exidia,pithya,"Aproximadamente 40.100 resultados (0,38 segundos) ",40100
Exidia recisa,13,Exidia,recisa,"Aproximadamente 53.400 resultados (0,45 segundos) ",53400
Genea fragans,13,Genea,fragans,"Aproximadamente 11.600 resultados (0,38 segundos) ",11600
Helvella atra,13,Helvella,atra,"Aproximadamente 43.600 resultados (0,40 segundos) ",43600
Hydnum amicum,13,Hydnum,amicum,"Aproximadamente 8.150 resultados (0,54 segundos) ",8150
Imleria badia,13,Imleria,badia,"Aproximadamente 219.000 resultados (0,45 segundos) ",219000
Lepista irina,13,Lepista,irina,"Aproximadamente 20.200 resultados (0,30 segundos) ",20200
Lepista saeva,13,Lepista,saeva,"Aproximadamente 17.300 resultados (0,33 segundos) ",17300
Mycena diosma,13,Mycena,diosma,"Aproximadamente 9.340 resultados (0,39 segundos) ",9340
Mycena renati,13,Mycena,renati,"Aproximadamente 25.600 resultados (0,32 segundos) ",25600
Mycena seynii,13,Mycena,seynii,"Aproximadamente 15.100 resultados (0,29 segundos) ",15100
Pholiotina sp,13,Pholiotina,sp,"Aproximadamente 22.600 resultados (0,46 segundos) ",22600
Pluteus nanus,13,Pluteus,nanus,"Aproximadamente 46.700 resultados (0,36 segundos) ",46700
Ramaria aurea,13,Ramaria,aurea,"Aproximadamente 79.300 resultados (0,49 segundos) ",79300
Ramaria flava,13,Ramaria,flava,"Aproximadamente 83.600 resultados (0,38 segundos) ",83600
Russula aurea,13,Russula,aurea,"Aproximadamente 104.000 resultados (0,40 segundos) ",104000
Russula badia,13,Russula,badia,"Aproximadamente 199.000 resultados (0,45 segundos) ",199000
Russula laeta,13,Russula,laeta,"Aproximadamente 29.300 resultados (0,37 segundos) ",29300
Russula lutea,13,Russula,lutea,"Aproximadamente 109.000 resultados (0,35 segundos) ",109000
Russula rosea,13,Russula,rosea,"Aproximadamente 110.000 resultados (0,35 segundos) ",110000
Russula rubra,13,Russula,rubra,"Aproximadamente 166.000 resultados (0,58 segundos) ",166000
Russula turci,13,Russula,turci,"Aproximadamente 25.200 resultados (0,45 segundos) ",25200
Russula urens,13,Russula,urens,"Aproximadamente 23.000 resultados (0,41 segundos) ",23000
Russula vesca,13,Russula,vesca,"Aproximadamente 76.700 resultados (0,42 segundos) ",76700
Simocybe rubi,13,Simocybe,rubi,"Aproximadamente 4.540 resultados (0,40 segundos) ",4540
Tuber borchii,13,Tuber,borchii,"Aproximadamente 77.700 resultados (0,46 segundos) ",77700
Tuber brumale,13,Tuber,brumale,"Aproximadamente 59.000 resultados (0,33 segundos) ",59000
Tuber fulgens,13,Tuber,fulgens,"Aproximadamente 1.070.000 resultados (0,46 segundos) ",1070
Tuber indicum,13,Tuber,indicum,"Aproximadamente 146.000 resultados (0,35 segundos) ",146000
Tuber nitidum,13,Tuber,nitidum,"Aproximadamente 97.400 resultados (0,37 segundos) ",97400
Amanita aprica,14,Amanita,aprica,"Aproximadamente 99.100 resultados (0,41 segundos) ",99100
Amanita cokeri,14,Amanita,cokeri,"Aproximadamente 9.250 resultados (0,38 segundos) ",9250
Amanita crocea,14,Amanita,crocea,"Aproximadamente 129.000 resultados (0,46 segundos) ",129000
Amanita hongoi,14,Amanita,hongoi,"Aproximadamente 245.000 resultados (0,48 segundos) ",245000
Amanita mairei,14,Amanita,mairei,"Aproximadamente 38.800 resultados (0,38 segundos) ",38800
Amanita nehuta,14,Amanita,nehuta,"Aproximadamente 2.500 resultados (0,40 segundos) ",2500
Amanita spissa,14,Amanita,spissa,"Aproximadamente 53.100 resultados (0,38 segundos) ",53100
Amanita valens,14,Amanita,valens,"Aproximadamente 21.300 resultados (0,32 segundos) ",21300
Amanita virosa,14,Amanita,virosa,"Aproximadamente 141.000 resultados (0,49 segundos) ",141000
Boletus aereus,14,Boletus,aereus,"Aproximadamente 131.000 resultados (0,34 segundos) ",131000
Boletus badius,14,Boletus,badius,"Aproximadamente 171.000 resultados (0,66 segundos) ",171000
Boletus edulis,14,Boletus,edulis,"Aproximadamente 2.190.000 resultados (0,44 segundos) ",2190
Boletus regius,14,Boletus,regius,"Aproximadamente 40.200 resultados (0,40 segundos) ",40200
Ciboria caucus,14,Ciboria,caucus,"Aproximadamente 665.000 resultados (0,39 segundos) ",665000
Ciboria coryli,14,Ciboria,coryli,"Aproximadamente 13.300 resultados (0,45 segundos) ",13300
Clathrus ruber,14,Clathrus,ruber,"Aproximadamente 66.500 resultados (0,37 segundos) ",66500
Clavaria acuta,14,Clavaria,acuta,"Aproximadamente 79.800 resultados (0,36 segundos) ",79800
Clitocybe nuda,14,Clitocybe,nuda,"Aproximadamente 81.300 resultados (0,47 segundos) ",81300
Collybia asema,14,Collybia,asema,"Aproximadamente 8.650 resultados (0,39 segundos) ",8650
Collybia ocior,14,Collybia,ocior,"Aproximadamente 32.900 resultados (0,47 segundos) ",32900
Conocybe apala,14,Conocybe,apala,"Aproximadamente 20.600 resultados (0,45 segundos) ",20600
Entoloma hebes,14,Entoloma,hebes,"Aproximadamente 106.000 resultados (0,37 segundos) ",106000
Fuligo cinerea,14,Fuligo,cinerea,"Aproximadamente 107.000 resultados (0,36 segundos) ",107000
Fuligo septica,14,Fuligo,septica,"Aproximadamente 167.000 resultados (0,41 segundos) ",167000
Geastrum nanum,14,Geastrum,nanum,"Aproximadamente 47.300 resultados (0,36 segundos) ",47300
Helvella fusca,14,Helvella,fusca,"Aproximadamente 19.800 resultados (0,37 segundos) ",19800
Hydnum albidum,14,Hydnum,albidum,"Aproximadamente 56.400 resultados (0,35 segundos) ",56400
Inocybe cookei,14,Inocybe,cookei,"Aproximadamente 19.600 resultados (0,39 segundos) ",19600
Inocybe godeyi,14,Inocybe,godeyi,"Aproximadamente 11.800 resultados (0,47 segundos) ",11800
Inocybe impexa,14,Inocybe,impexa,"Aproximadamente 5.710 resultados (0,45 segundos) ",5710
Inocybe jurana,14,Inocybe,jurana,"Aproximadamente 6.480 resultados (0,37 segundos) ",6480
Inocybe lacera,14,Inocybe,lacera,"Aproximadamente 79.000 resultados (0,50 segundos) ",79000
Inocybe pudica,14,Inocybe,pudica,"Aproximadamente 35.900 resultados (0,42 segundos) ",35900
Inocybe rimosa,14,Inocybe,rimosa,"Aproximadamente 67.600 resultados (0,31 segundos) ",67600
Lachnum niveus,14,Lachnum,niveus,"Aproximadamente 4.220 resultados (0,37 segundos) ",4220
Leccinum molle,14,Leccinum,molle,"Aproximadamente 12.800 resultados (0,33 segundos) ",12800
Leotia lubrica,14,Leotia,lubrica,"Aproximadamente 81.000 resultados (0,37 segundos) ",81000
