name,three_classes
Abortiporus biennis,no_value
Adelphella babingtonii,no_value
Agaricus arvensis,edible
Agaricus augustus,edible
Agaricus bisporus,edible
Agaricus bitorquis,edible
Agaricus blazei,edible
Agaricus bohusii,edible
Agaricus brunnescens,edible
Agaricus californicus,toxic
Agaricus campestris,edible
Agaricus hondensis,toxic
Agaricus iodosmus,toxic
Agaricus langei,edible
Agaricus litoralis,edible
Agaricus menieri,toxic
Agaricus moelleri,toxic
Agaricus phaeolepidotus,toxic
Agaricus placomyces,toxic
Agaricus silvaticus,edible
Agaricus silvicola,edible
Agaricus urinascens,edible
Agaricus xanthodermus,toxic
Agrocybe aegerita,edible
Agrocybe arenicola,toxic
Agrocybe praecox,no_value
Alboleptonia sericella,no_value
Aleuria aurantia,edible
Amanita abrupta,toxic
Amanita albocreata,toxic
Amanita altipes,toxic
Amanita aprica,toxic
Amanita battarrae,edible
Amanita boudieri,toxic
Amanita breckonii,toxic
Amanita brunnescens,toxic
Amanita caesarea,edible
Amanita ceciliae,edible
Amanita citrina,toxic
Amanita cokeri,toxic
Amanita cothurnata,toxic
Amanita crocea,edible
Amanita curtipes,edible
Amanita echinocephala,toxic
Amanita eliae,toxic
Amanita excelsa,edible
Amanita farinosa,toxic
Amanita flavoconia,toxic
Amanita flavorubescens,toxic
Amanita franchetii,toxic
Amanita frostiana,toxic
Amanita fulva,edible
Amanita gemmata,toxic
Amanita gioiosa,toxic
Amanita gracilior,toxic
Amanita hemibapha,toxic
Amanita heterochroma,toxic
Amanita hongoi,toxic
Amanita ibotengutake,toxic
Amanita jacksonii,toxic
Amanita muscaria,toxic
Amanita nehuta,toxic
Amanita neoovoidea,toxic
Amanita novinupta,toxic
Amanita ovoidea,edible
Amanita pantherina,toxic
Amanita parcivolvata,toxic
Amanita parvipantherina,toxic
Amanita phalloides,toxic
Amanita ponderosa,edible
Amanita porphyria,no_value
Amanita porrinensis,toxic
Amanita proxima,toxic
Amanita pseudoporphyria,toxic
Amanita pseudoregalis,toxic
Amanita pseudorubescens,toxic
Amanita regalis,toxic
Amanita roseotincta,toxic
Amanita rubescens,edible
Amanita rubrovolvata,toxic
Amanita smithiana,toxic
Amanita strobiliformis,edible
Amanita torrendii,no_value
Amanita vaginata,edible
Amanita velatipes,toxic
Amanita verna,toxic
Amanita virosa,toxic
Amanita vittadinii,edible
Amanita wellsii,toxic
Amanita xanthocephala,toxic
Ampulloclitocybe clavipes,no_value
Arachnopeziza aurelia,no_value
Arcyria denudata,no_value
Armillaria mellea,edible
Armillaria tabescens,edible
Arrhenia onisca,no_value
Arrhenia spathulata,no_value
Ascocoryne cylichnium,no_value
Ascocoryne sarcoides,no_value
Ascotremella faginea,no_value
Asterophora lycoperdoides,toxic
Asterophora parasitica,toxic
Astraeus hygrometricus,toxic
Auricularia auricula-judae,edible
Auricularia polytricha,edible
Auriscalpium vulgare,no_value
Baeospora myosura,no_value
Bolbitius titubans,no_value
Boletopsis leucomelaena,toxic
Boletus aereus,edible
Boletus badius,edible
Boletus edulis,edible
Boletus erythropus,edible
Boletus ferrugineus,edible
Boletus lupinus,toxic
Boletus pinophilus,edible
Boletus pulchrotinctus,toxic
Boletus reticulatus,edible
Boletus rhodoxanthus,toxic
Boletus satanas,toxic
Boletus subtomentosus,edible
Bovista plumbea,no_value
Bulgaria inquinans,no_value
Butyriboletus appendiculatus,edible
Butyriboletus pseudoregius,edible
Butyriboletus regius,edible
Calbovista subsculpta,edible
Caloboletus calopus,no_value
Caloboletus radicans,toxic
Calocera cornea,no_value
Calocera viscosa,no_value
Calocybe gambosa,edible
Calvatia gigantea,edible
Calvatia utriformis,edible
Cantharellus,toxic
Cantharellus cibarius,edible
Cantharellus cinereus,edible
Cantharellus lutescens,edible
Cantharellus melanoxeros,edible
Cantharellus subpruinosus,edible
Ceratiomyxa fruticulosa,no_value
Ceratiomyxa porioides,no_value
Cerioporus corylinus,edible
Cerioporus rhizophilus,no_value
Cerioporus squamosus,edible
Chalciporus piperatus,edible
Cheilymenia stercorea,no_value
Chlorociboria aeruginascens,no_value
Chlorophyllum brunneum,toxic
Chlorophyllum molybdites,toxic
Chlorophyllum olivieri,toxic
Chlorophyllum rhacodes,no_value
Choiromyces meandriformis,toxic
Choiromyces venosus,toxic
Chromosera viola,no_value
Chroogomphus,edible
Chroogomphus helveticus,no_value
Chroogomphus rutilus,edible
Ciboria amentacea,no_value
Ciboria batschiana,no_value
Clathrus archeri,toxic
Clathrus ruber,toxic
Clavaria acuta,no_value
Clavaria fragilis,no_value
Clavaria fumosa,no_value
Clavaria zollingeri,no_value
Clavariaceae,edible
Clavariadelphus pistillaris,no_value
Clavariadelphus truncatus,edible
Claviceps purpurea,toxic
Clavulinaceae,edible
Clavulinopsis corniculata,no_value
Clavulinopsis fusiformis,no_value
Clavulinopsis helvola,no_value
Clavulinopsis luteoalba,no_value
Clitocella popinalis,toxic
Clitocybe acromelalga,toxic
Clitocybe alexandri,edible
Clitocybe alnetorum,toxic
Clitocybe amoenolens,toxic
Clitocybe candicans,toxic
Clitocybe candida,edible
Clitocybe cerussata,toxic
Clitocybe costata,no_value
Clitocybe dealbata,toxic
Clitocybe diatreta,toxic
Clitocybe ericetorum,toxic
Clitocybe festiva,toxic
Clitocybe fragrans,toxic
Clitocybe geotropa,edible
Clitocybe gibba,no_value
Clitocybe gracilipes,toxic
Clitocybe nebularis,edible
Clitocybe odora,no_value
Clitocybe phyllophila,toxic
Clitocybe rivulosa,toxic
Clitopilus geminus,toxic
Clitopilus prunulus,edible
Collybia cirrhata,no_value
Collybia cookei,no_value
Collybia tuberosa,no_value
Comatricha nigra,no_value
Conocybe,toxic
Conocybe apala,no_value
Conocybe arrhenii,no_value
Conocybe brunnea,no_value
Conocybe filaris,toxic
Conocybe mairei,no_value
Conocybe ovalis,no_value
Conocybe subovalis,toxic
Conocybe tenera,toxic
Conocybe teneroides,no_value
Conocybe vestita,no_value
Coprinellus micaceus,no_value
